UPRN,Address,Area,Postcode,Building Type,Building height 
6985558070,7 Frys Lane,Redbridge,W13 0BD,Private,12.0
8804032454,12 Leofric Road,Redbridge,SE8 4QH,Private,32.0
6134840739,4 Chatsworth Grove,Redbridge,SW15 2AH,Private,21.0
4141692985,16 Carlton Gate,Redbridge,E10 5NX,Private,18.0
6400445126,22 Lloyd Place,Redbridge,E7 9QA,Social Housing,5.0
1435271983,12 Goldcrest Close,Redbridge,E14 3UU,Social Housing ,33.0
7530769236,Spindles Old Coach Road,Redbridge,N6 4QT,Social Housing ,29.0
8662056482,10 Primrose Close,Redbridge,SW3 4HH,Social Housing ,33.0
6873886464,1 The Willows,Redbridge,SE14 6DY,Social Housing ,21.0
6210737448,1 Trecreege Barns,Redbridge,SW16 3UZ,Buisness ,19.0
7688697953,Kingswood Hill Lodge,Redbridge,E17 4LA,Buisness ,24.0
5775082137,36 Three Crosses,Redbridge,SE4 2AP,Buisness ,32.0
6328951350,Flat 7 420 Lymington Road,Redbridge,E14 3PE,Buisness ,22.0
4182412661,89 Lindfield Road,Redbridge,N8 0FA,Buisness ,9.0
1432676007,25 Victoria Drive,Redbridge,N12 9TT,Buisness ,21.0
8415983736,44 Thorncliffe Close,Redbridge,NW7 3RX,Buisness ,10.0
7608270377,163 Marine Drive,Redbridge,SW4 7LF,Buisness ,7.0
2954158909,Old Hall Farm,Redbridge,N1 3RD,Buisness ,8.0
4135592033,Flat 1 18 Gloucester Street,Redbridge,SW8 1QP,Private,35.0
6851068862,137 Southam Road,Redbridge,SW3 6NB,Private,33.0
5466314203,13 Rookery Road,Redbridge,N18 1PE,Private,29.0
4606024723,Red House Farm,Redbridge,N8 8HY,Private,18.0
7507784357,16 Cartwright Close,Redbridge,SW11 1SJ,Private,21.0
2820163024,17 Ascot Gardens,Redbridge,E7 0QQ,Private,9.0
5629002806,8 Brodog Terrace,Redbridge,N16 7UT,Private,8.0
1051426674,20 Currants Farm Road,Redbridge,W2 6HF,Private,27.0
3981420365,54 Bwthyn The Square,Redbridge,SE16 2TJ,Social Housing ,21.0
3410852262,103 Watleys End Road,Redbridge,E3 5JP,Social Housing ,27.0
1151355537,Swan View Gravel Lane,Redbridge,W2 3PR,Social Housing ,20.0
8677051323,80 Cannock Road,Redbridge,E6 1AT,Social Housing ,15.0
3550268913,6 Phoenix Close,Redbridge,E10 6QD,Social Housing ,13.0
4549555157,Flat 23 Stedham Chambers,Redbridge,NW9 9HL,Buisness ,34.0
5624210835,23 Green Lane,Redbridge,N3 2NQ,Buisness ,34.0
5748146139,Flat F Vine Lodge,Redbridge,E17 5RB,Buisness ,8.0
8369794127,Woodside House,Redbridge,SW11 3YQ,Buisness ,27.0
5752246234,416 Talbot Road,Redbridge,E3 2BE,Buisness ,12.0
1351350004,21 Buckwins Square,Redbridge,W2 1NH,Buisness ,10.0
1944677232,5 Pinkneys,Redbridge,W14 0BQ,Buisness ,35.0
4117815547,2 Tanrhiw,Redbridge,N11 1AE,Buisness ,16.0
3785464611,88 Bradwell Road,Redbridge,E3 2AN,Buisness ,29.0
3438677313,Flat 20 Wyndham Deedes House,Redbridge,SE28 0HJ,Private,9.0
5526645394,69 Cresswell Close,Redbridge,W12 0ST,Private,10.0
5061293492,13 Mill Lane,Redbridge,E14 7XJ,Private,27.0
1146056878,6 Millstone Place,Redbridge,W4 3NP,Private,22.0
7807419406,158A High Street,Redbridge,NW5 1LN,Private,27.0
8009663658,28 Bridge Street,Redbridge,NW10 0SL,Private,7.0
3970104645,7 Pen Yr Allt,Redbridge,E14 5JP,Private,34.0
7775911543,Crosshills,Redbridge,SW4 6JF,Private,24.0
6463618200,3 Bridge Terrace,Redbridge,E10 5AN,Social Housing ,25.0
6864711678,34 Spains Hall Place,Redbridge,W2 1NY,Social Housing ,30.0
8463993535,2 Glebe Close,Redbridge,W3 9DH,Social Housing ,31.0
3185760278,2A Ewenny Road,Newham,E17 9HN,Social Housing ,11.0
4926507059,93 The Stray,Newham,SE13 7QU,Social Housing ,35.0
5638797472,Flat 10 The Drive,Newham,W5 1JY,Buisness ,26.0
8074190685,15 Kingfisher Close,Newham,W14 0PD,Buisness ,25.0
5169928279,Beadales,Newham,SW4 8BX,Buisness ,13.0
8538668376,8 Kensington Court,Newham,NW9 4DF,Buisness ,16.0
4026064959,11 Bro Arthur,Newham,N1 5QG,Buisness ,9.0
7246507773,Block 5 250 City Road,Newham,N13 4AJ,Buisness ,24.0
8551731721,Penralltgochel,Newham,SE28 0DF,Buisness ,28.0
8451186746,8 Eskdale Avenue,Newham,E17 4HL,Buisness ,12.0
1801702546,4 Kew Rise,Newham,N3 2TD,Buisness ,10.0
2708024777,5 Barlow Street,Newham,E7 0HX,Private,9.0
4907033008,The Founders Studio,Newham,SE16 7FL,Private,26.0
6397323633,53 Westerton Drive,Newham,E14 0BS,Private,35.0
6163819504,4 Grange Avenue,Newham,SW11 6HX,Private,35.0
3064803961,14 Stirling Gardens,Newham,E15 4AF,Private,20.0
3971274632,Skyers Farm,Newham,W4 3DQ,Private,19.0
5938550556,71 Humber Way,Newham,E8 3PX,Private,35.0
7911264927,Flat B 9 Fitzwilliam Road,Newham,E8 4DE,Private,29.0
4193373281,21 Ash Walk,Newham,SE13 7JN,Social Housing ,23.0
5443127937,Queen Ann House 16 - 20 Eastbank Street,Newham,N1 5AL,Social Housing ,8.0
2687090174,Flat 9 Chesham Court,Newham,W10 9ED,Social Housing ,7.0
6018185605,4 Melbourne Close,Newham,SE15 2QQ,Social Housing ,11.0
5934036624,25 Woodward View,Newham,W2 4TE,Social Housing ,29.0
8155701685,42 Village Road,Newham,NW6 4RR,Buisness ,23.0
7079431431,Meadow View Usk Road,Newham,SE9 6DG,Buisness ,15.0
4548921134,Apartment 14 10 Terrace Road,Newham,W4 4QJ,Buisness ,30.0
3789379353,Flat 3 St. Swithuns Court,Newham,SE6 4UY,Buisness ,19.0
8094074086,48 Marston Drive,Newham,SE8 3HY,Buisness ,28.0
6595590326,127A Wilmslow Road,Newham,SE10 0TF,Buisness ,24.0
8489657259,8 Chatsworth Road,Newham,N10 2PP,Buisness ,9.0
5776651001,15 Home Piece Road,Newham,SW19 1NZ,Buisness ,13.0
7495715433,10 Herbert Street,Havering,SW4 7TY,Buisness ,24.0
7889206476,Unit 1 Bessemer Road,Havering,W10 6JE,Private,9.0
5956060216,11 Ladbroke Grove,Havering,E14 0DD,Private,32.0
5278020013,Penbryn Goleu,Havering,SE17 3PF,Private,31.0
6278191468,25 Mellors Close,Havering,SE18 6NX,Private,35.0
5113876212,97 Brigg Road,Havering,SE12 8UW,Private,35.0
7368939825,10 Cowley Crescent,Havering,SE14 6JB,Private,34.0
5678005585,79 Belper Road,Havering,W11 9JZ,Private,33.0
6296340418,35 Linden Walk,Havering,SW18 3AS,Private,25.0
2801432364,Thimble House 3 Threadneedle Close,Havering,SE16 4PU,Social Housing ,12.0
1572788282,The Bungalow,Havering,N10 2RP,Social Housing ,33.0
1772707768,55 Boundary Road,Havering,NW10 1EB,Social Housing ,27.0
4438935594,5 Partridge Close,Havering,SW9 8AT,Social Housing ,19.0
7968199936,60 Slaithwaite Road,Havering,SE16 3PJ,Social Housing ,20.0
8504865513,11 Fuggle Drive,Havering,E13 0AR,Buisness ,6.0
4380764985,6 Torquay Avenue,Havering,W3 7HF,Buisness ,33.0
6332655941,Beech House,Havering,W10 6DD,Buisness ,29.0
261751841,Oxford House Church Street,Enfield ,BS48 1UD,Private,37.0
3663562265,Unit 4 St James Centre,Enfield ,SK1 1QE,Private,35.0
2869351556,Little Orton Clarbeston Road,Enfield ,SR4 6BT,Private,38.0
786529228,169 King Street Dukinfield,Enfield ,SA19 8SR,Private,41.0
1926342092,26 Ferndale Road Lichfield,Enfield ,DL1 3PE,Social Housing,33.0
7358457047,2 Little Marston Cottages Marston Magna,Enfield ,SO23 9PL,Social Housing ,19.0
5168365682,Derwent Holme Huttons Ambo,Enfield ,EX22 7AQ,Social Housing ,38.0
5331438161,7 Clifton Road Shefford,Enfield ,LE8 0PA,Social Housing ,21.0
4699048400,5 Arafon Mynydd Llandygai,Enfield ,SA14 8UP,Social Housing ,25.0
612152483,10 Carlyle Close Newport Pagnell,Enfield ,DY14 0RT,Buisness ,32.0
9248610214,Loch View Wilstone Bridge,Enfield ,HP4 2GE,Buisness ,33.0
4010533290,19 Clarence Road Teddington,Enfield ,BT79 7QX,Buisness ,25.0
4205082261,32 Bredon Drive Hereford,Enfield ,RM2 5LJ,Buisness ,40.0
7858424536,38 Bodmin Road Leeds,Enfield ,NE28 9UD,Buisness ,25.0
8073349423,60A Mayfield Road Southampton,Enfield ,SK8 3HX,Buisness ,24.0
9022003309,Flat C Millman Street,Enfield ,PR8 4PD,Buisness ,20.0
6871334838,The Cuddy Southend Road,Enfield ,CT10 2UL,Buisness ,45.0
4766658249,19 Stuart Close Swanley,Enfield ,BN2 9PE,Buisness ,36.0
1824585448,112 Kerscott Road Manchester,Enfield ,DY9 0XA,Private,37.0
9491142181,Flat 5 Crown Court,Enfield ,BS48 2HW,Private,22.0
4431576850,The School House School Road,Enfield ,CO7 7RL,Private,19.0
4308358696,Ivy Cottage Waters Green,Enfield ,RM13 8HY,Private,27.0
3808128618,Flat 2 Garrick Street,Enfield ,FY1 9HF,Private,35.0
3984474159,53 Attleboro Road Manchester,Enfield ,JE4 9YU,Private,21.0
926019931,6 High Trees Mount Hull,Enfield ,BB12 6NS,Private,22.0
4794759791,3 Hope Place Exeter,Enfield ,DL12 8JR,Private,38.0
4138502724,22 Courtmount Grove Portsmouth,Enfield ,CF44 6WB,Social Housing ,23.0
9994408136,22A St Georges Hill Perranporth,Enfield ,DD11 1RD,Social Housing ,42.0
6563925825,2 Weir Close Chiselhampton,Enfield ,TW15 2JP,Social Housing ,20.0
5233490889,1 Treasure Row Par,Enfield ,HP13 7XJ,Social Housing ,35.0
212759661,3 Napton Green Coventry,Enfield ,KY10 3TB,Social Housing ,37.0
4457373160,96A High Street London,Waltham Forest,SS9 2DT,Buisness ,33.0
9507300982,26 Arundel Square Ashington,Waltham Forest,MK6 4LW,Buisness ,18.0
6184584741,4 Stallington Cottages Stallington Road,Waltham Forest,B25 8UD,Buisness ,37.0
2826307083,Beech House Grasby Road,Waltham Forest,CT16 9DT,Buisness ,17.0
3142890920,16 Bower Road Woolton,Waltham Forest,SL7 2HB,Buisness ,23.0
6407453130,16 Shrewsbury Gardens Cheadle Hulme,Waltham Forest,ML2 8PS,Buisness ,45.0
8587806549,4 St James Street Wednesbury,Waltham Forest,DN9 3BJ,Buisness ,17.0
1662280546,60 Macdonald Street Orrell,Waltham Forest,CF35 6BJ,Buisness ,45.0
8234934943,Mole End Cotchford Lane,Waltham Forest,BT71 6NA,Buisness ,23.0
7484284052,4 Laneside Court West Ham Lane,Waltham Forest,BN25 2DA,Private,16.0
3784362479,21 Earls Drive Gateshead,Waltham Forest,S40 1UT,Private,25.0
5998778263,11 Pearson Avenue Beeston,Waltham Forest,CM19 5RW,Private,19.0
5820185685,16 St Dunstans Road Salcombe,Waltham Forest,CB23 6DX,Private,43.0
7280676581,Bedding Cement Works Shoreham Road,Waltham Forest,TD9 9HU,Private,25.0
3266489056,Batt's Wood Cottages Witherenden Hill,Waltham Forest,GL4 0AR,Private,29.0
525448859,11 Instone Road Coventry,Waltham Forest,GU4 8JG,Private,23.0
4200425892,30 Cornwall Crescent Billingham,Waltham Forest,BR3 6SS,Private,31.0
251192134,4 Museum Street Caerleon,Waltham Forest,SE24 0QY,Social Housing ,25.0
9358259494,5 Oakford Walk Park North,Waltham Forest,SO24 0AH,Social Housing ,26.0
1742463052,4 Greenfields Liss,Waltham Forest,B33 8QF,Social Housing ,17.0
